# TEMA: Pop italiano dal 2000
#
# Catalogo online: una canzone per riga   TITOLO | ARTISTA | ANNO
# L'audio arriva dall'anteprima ufficiale di 30 secondi (Deezer o iTunes):
# per queste playlist il PC della regia deve essere collegato a Internet.

Xdono | Tiziano Ferro | 2001
Sere nere | Tiziano Ferro | 2003
Ti scatterò una foto | Tiziano Ferro | 2007
Io canto | Laura Pausini | 2006
Di sole e d'azzurro | Giorgia | 2001
Luce (tramonti a nord est) | Elisa | 2001
L'anima vola | Elisa | 2013
Estate | Negramaro | 2005
Solo 3 min | Negramaro | 2005
Marmellata #25 | Cesare Cremonini | 2005
Poetica | Cesare Cremonini | 2017
A te | Jovanotti | 2008
Baciami ancora | Jovanotti | 2010
Non è l'inferno | Emma | 2012
Immobile | Alessandra Amoroso | 2009
Arriverà | Modà | 2011
Nessun grado di separazione | Francesca Michielin | 2016
Andromeda | Elodie | 2020
La musica non c'è | Coez | 2017
Paracetamolo | Calcutta | 2018
Riccione | Thegiornalisti | 2017
Completamente | Thegiornalisti | 2016
Alfonso | Levante | 2013
I tuoi particolari | Ultimo | 2019
Pianeti | Ultimo | 2018
Tango | Tananai | 2023
Musica leggerissima | Colapesce Dimartino | 2021
Non ti scordar mai di me | Giusy Ferreri | 2008
Sei nell'anima | Gianna Nannini | 2006
Un senso | Vasco Rossi | 2004
Fatti avanti amore | Nek | 2015
Rolls Royce | Achille Lauro | 2019
La genesi del tuo colore | Irama | 2021
I p' me, tu p' te | Geolier | 2024
Musica (e il resto scompare) | Elettra Lamborghini | 2020
Magnifico | Fedez | 2014
Notti in bianco | Blanco | 2021
Malibu | Sangiovanni | 2021
Voce | Madame | 2021
Volevo essere un duro | Lucio Corsi | 2025
Mon amour | Annalisa | 2023
Sinceramente | Annalisa | 2024
Italodisco | The Kolors | 2023
Supereroi | Mr. Rain | 2023
Tuta gold | Mahmood | 2024
