# TEMA: Rap e trap italiano
#
# Catalogo online: una canzone per riga   TITOLO | ARTISTA | ANNO

Tranqi Funky | Articolo 31 | 1994
Domani smetto | Articolo 31 | 2002
Quelli che benpensano | Frankie hi-nrg mc | 1997
Aspettando il sole | Neffa | 1996
Applausi per Fibra | Fabri Fibra | 2006
Fuori dal tunnel | Caparezza | 2003
Vieni a ballare in Puglia | Caparezza | 2008
Chissenefrega (in discoteca) | Club Dogo | 2010
Badabum Cha Cha | Marracash | 2008
Senza pagare | J-Ax | 2017
Vorrei ma non posto | J-Ax | 2016
Maracanã | Emis Killa | 2014
Nu juorno buono | Rocco Hunt | 2014
E yo mamma | Coez | 2017
Pellaria | Carl Brave x Franco126 | 2017
90MIN | Salmo | 2018
Tran Tran | Sfera Ebbasta | 2018
Rockstar | Sfera Ebbasta | 2018
Tesla | Capo Plaza | 2018
Cara Italia | Ghali | 2018
Ninna nanna | Ghali | 2016
Cenere | Lazza | 2023
30°C | ANNA | 2024
Bikini | ANNA | 2020
Soldi | Mahmood | 2019
