# TEMA: Classici italiani anni 50, 60 e 70
#
# Catalogo online: una canzone per riga   TITOLO | ARTISTA | ANNO

Azzurro | Adriano Celentano | 1968
24.000 baci | Adriano Celentano | 1961
Una carezza in un pugno | Adriano Celentano | 1968
Prisencolinensinainciusol | Adriano Celentano | 1972
Se telefonando | Mina | 1966
Parole parole | Mina | 1972
Grande grande grande | Mina | 1972
Il cielo in una stanza | Mina | 1960
Il ballo del mattone | Rita Pavone | 1963
Viva la pappa col pomodoro | Rita Pavone | 1965
In ginocchio da te | Gianni Morandi | 1964
Fatti mandare dalla mamma | Gianni Morandi | 1962
Abbronzatissima | Edoardo Vianello | 1963
I Watussi | Edoardo Vianello | 1963
Guarda che luna | Fred Buscaglione | 1959
Tu vuò fà l'americano | Renato Carosone | 1956
La bambola | Patty Pravo | 1968
Pensiero stupendo | Patty Pravo | 1978
Nessuno mi può giudicare | Caterina Caselli | 1966
29 settembre | Equipe 84 | 1967
L'ora dell'amore | I Camaleonti | 1968
Ma che freddo fa | Nada | 1969
Rose rosse | Massimo Ranieri | 1969
Tanti auguri | Raffaella Carrà | 1978
A far l'amore comincia tu | Raffaella Carrà | 1976
Rumore | Raffaella Carrà | 1974
Minuetto | Mia Martini | 1973
Ti amo | Umberto Tozzi | 1977
Gloria | Umberto Tozzi | 1979
Piccola e fragile | Drupi | 1973
Montagne verdi | Marcella Bella | 1972
L'appuntamento | Ornella Vanoni | 1970
Tu sei l'unica donna per me | Alan Sorrenti | 1979
