# TEMA: Anni 80 italiani e italo disco
#
# Catalogo online: una canzone per riga   TITOLO | ARTISTA | ANNO

Vamos a la playa | Righeira | 1983
L'estate sta finendo | Righeira | 1985
I Like Chopin | Gazebo | 1983
Dolce vita | Ryan Paris | 1983
Boys (Summertime Love) | Sabrina | 1987
Self Control | Raf | 1984
Cosa resterà degli anni '80 | Raf | 1989
Gente di mare | Umberto Tozzi | 1987
Non sono una signora | Loredana Bertè | 1982
Una storia importante | Eros Ramazzotti | 1985
Luna | Gianni Togni | 1980
Per Elisa | Alice | 1981
Oro | Mango | 1984
Teorema | Marco Ferradini | 1981
Andamento lento | Tullio De Piscopo | 1988
Ti sento | Matia Bazar | 1985
Vacanze romane | Matia Bazar | 1983
Uno su mille | Gianni Morandi | 1985
Storie di tutti i giorni | Riccardo Fogli | 1982
Ma quale idea | Pino D'Angiò | 1980
Call Me | Spagna | 1987
Tarzan Boy | Baltimora | 1985
Tu | Umberto Tozzi | 1978
Maledetta primavera | Loretta Goggi | 1981
