# TEMA: Anni 90 internazionali
#
# Catalogo online: una canzone per riga   TITOLO | ARTISTA | ANNO

Hero | Mariah Carey | 1993
I Want It That Way | Backstreet Boys | 1999
Everybody (Backstreet's Back) | Backstreet Boys | 1997
Wannabe | Spice Girls | 1996
...Baby One More Time | Britney Spears | 1998
No Scrubs | TLC | 1999
Waterfalls | TLC | 1995
All That She Wants | Ace of Base | 1992
It Must Have Been Love | Roxette | 1990
Listen to Your Heart | Roxette | 1988
Losing My Religion | R.E.M. | 1991
Ironic | Alanis Morissette | 1995
Don't Speak | No Doubt | 1995
Song 2 | Blur | 1997
Bitter Sweet Symphony | The Verve | 1997
Angels | Robbie Williams | 1997
Back for Good | Take That | 1995
MMMBop | Hanson | 1997
Barbie Girl | Aqua | 1997
Frozen | Madonna | 1998
Vogue | Madonna | 1990
Black or White | Michael Jackson | 1991
Kiss from a Rose | Seal | 1994
You Gotta Be | Des'ree | 1994
Torn | Natalie Imbruglia | 1997
Believe | Cher | 1998
Truly Madly Deeply | Savage Garden | 1997
Save Tonight | Eagle-Eye Cherry | 1997
Mambo No. 5 (A Little Bit of...) | Lou Bega | 1999
Lovefool | The Cardigans | 1996
Nothing Compares 2 U | Sinéad O'Connor | 1990
What's Up? | 4 Non Blondes | 1992
Enjoy the Silence | Depeche Mode | 1990
