# TEMA: Anni 90 italiani
#
# Catalogo online: una canzone per riga   TITOLO | ARTISTA | ANNO

Hanno ucciso l'Uomo Ragno | 883 | 1992
Nord sud ovest est | 883 | 1993
Come mai | 883 | 1993
Tieni il tempo | 883 | 1995
L'ombelico del mondo | Jovanotti | 1995
Serenata rap | Jovanotti | 1994
Penso positivo | Jovanotti | 1993
Strani amori | Laura Pausini | 1994
Più bella cosa | Eros Ramazzotti | 1996
Cose della vita | Eros Ramazzotti | 1993
Oggi sono io | Alex Britti | 1998
Solo una volta (o tutta la vita) | Alex Britti | 1998
Laura non c'è | Nek | 1997
50 Special | Lùnapop | 1999
Qualcosa di grande | Lùnapop | 2000
La forza della vita | Paolo Vallesi | 1992
Ma non ho più la mia città | Gerardina Trovato | 1993
La mia storia tra le dita | Gianluca Grignani | 1994
Destinazione paradiso | Gianluca Grignani | 1995
Il volo | Zucchero | 1997
Vorrei cantare come Biagio | Simone Cristicchi | 2005
