# TEMA: Dance ed elettronica
#
# Catalogo online: una canzone per riga   TITOLO | ARTISTA | ANNO

L'amour toujours | Gigi D'Agostino | 1999
Bla Bla Bla | Gigi D'Agostino | 1999
Blue (Da Ba Dee) | Eiffel 65 | 1998
Uh La La La | Alexia | 1997
The Rhythm of the Night | Corona | 1993
What Is Love | Haddaway | 1993
Rhythm Is a Dancer | Snap! | 1992
Mr. Vain | Culture Beat | 1993
No Limit | 2 Unlimited | 1993
Children | Robert Miles | 1995
One More Time | Daft Punk | 2000
Get Lucky | Daft Punk | 2013
Praise You | Fatboy Slim | 1998
Titanium | David Guetta | 2011
Wake Me Up | Avicii | 2013
Levels | Avicii | 2011
Summer | Calvin Harris | 2014
This Is What You Came For | Calvin Harris | 2016
Don't You Worry Child | Swedish House Mafia | 2012
Satisfaction | Benny Benassi | 2002
Love Generation | Bob Sinclar | 2005
Call on Me | Eric Prydz | 2004
Animals | Martin Garrix | 2013
I Gotta Feeling | Black Eyed Peas | 2009
Party Rock Anthem | LMFAO | 2011
Piece of Your Heart | MEDUZA | 2019
Closer | The Chainsmokers | 2016
Lean On | Major Lazer | 2015
Insomnia | Faithless | 1995
Sandstorm | Darude | 1999
9 PM (Till I Come) | ATB | 1998
Music Sounds Better with You | Stardust | 1998
Prayer in C | Lilly Wood and The Prick | 2014
The Business | Tiësto | 2020
