# TEMA: Tormentoni estivi italiani
#
# Catalogo online: una canzone per riga   TITOLO | ARTISTA | ANNO

Vamos a bailar (Esta vida nueva) | Paola & Chiara | 2000
Mare caos | Paola & Chiara | 2023
Amore e capoeira | Takagi & Ketra | 2018
Jambo | Takagi & Ketra | 2019
Roma - Bangkok | Baby K | 2015
Non ti dico no | Boomdabash | 2019
Mambo salentino | Boomdabash | 2019
D'estate non vale | Fred De Palma | 2018
Una volta ancora | Fred De Palma | 2019
Andiamo a comandare | Fabio Rovazzi | 2016
Tutto molto interessante | Fabio Rovazzi | 2016
Karaoke | Boomdabash | 2020
Bellissima | Annalisa | 2022
Disco Paradise | Fedez | 2023
Mille | Fedez | 2021
A un passo dalla luna | Rocco Hunt | 2020
Pem Pem | Elettra Lamborghini | 2019
Fotografia | Carl Brave | 2018
Occhi profondi | Emma | 2020
Dove e quando | Benji & Fede | 2018
