# TEMA: Soul, jazz e swing
#
# Catalogo online: una canzone per riga   TITOLO | ARTISTA | ANNO

Hit the Road Jack | Ray Charles | 1961
Georgia on My Mind | Ray Charles | 1960
My Baby Just Cares for Me | Nina Simone | 1958
At Last | Etta James | 1960
Just a Gigolo / I Ain't Got Nobody | Louis Prima | 1956
That's Amore | Dean Martin | 1953
Don't Know Why | Norah Jones | 2002
Ain't No Sunshine | Bill Withers | 1971
Lean on Me | Bill Withers | 1972
Wonderful World | Sam Cooke | 1960
My Girl | The Temptations | 1964
I Say a Little Prayer | Aretha Franklin | 1968
When a Man Loves a Woman | Percy Sledge | 1966
Fast Car | Tracy Chapman | 1988
Everything | Michael Bublé | 2007
Valerie | Mark Ronson | 2007
